 820-3399-a        Tebo-ICT,  license #YunTaiLi

 Test Fixture Nails     377/377  Selected Drills           01-January-2012 05:54
                        377 Nails,  1318 Nets               Metric units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$102      94.310    75.500   3  C1   (B)  #691  SOCHOT0_L        T PIN TB_TP241.1
$103      93.615    76.300   4  C1   (B)  #1125 PMU_GPIO_BT_HOST_WAKE T PIN TB_TP191.1
$104      93.920    77.405   3  C1   (B)  #811  SOC_TST_CPUSWITCH_OUT   PIN TP0700.1
$105      91.780    77.060   4  C1   (B)  #718  WDOG_SOC2PMU_RESET_IN T PIN TB_TP277.1
$106      92.600    77.910   3  C1   (B)  #892  UART0_SOC_TXD    T PIN TB_TP172.1
$107      92.630    80.110   2  C1   (B)  #679  GPIO_SOC2PMU_KEEPACT T PIN TB_TP258.1
$108      93.530    81.340   3  C1   (B)  #913  TP_GPIO_DFU_STATUS T PIN TB_TP144.1
$109      94.260    79.780   4  C1   (B)  #891  SPI3_CODEC_CS_L  T PIN TB_TP122.1
$110      95.020    80.590   3  C1   (B)  #877  SPI2_GRAPE_MISO  T PIN TB_TP125.1
$111      97.410    81.790   1  C1   (B)  #846  UART1_SOC2BT_TX  T PIN TB_TP76.1
$112      99.710    85.815   1  C1   (B)  #717  WDOG_SOC         T PIN TB_TP278.1
$113      94.880    85.950   1  C1   (B)  #720  SOC_TESTMODE     T PIN TB_TP372.1
$114      87.140    85.800   1  C1   (B)  #842  GPIO_TS2SOC2PMU_INT T PIN TB_TP250.1
$115      87.000    83.510   2  C1   (B)  #1053 SPI_OSCAR2COMPASS_CS_L T PIN TB_TP111.1
$116      85.940    82.400   3  C1   (B)  #682  I2C0_SDA_1V8     T PIN TB_TP325.1
$117      87.260    81.300   2  C1   (B)  #683  I2C0_SCL_1V8     T PIN TB_TP326.1
$118      86.000    78.945   2  C1   (B)  #23   PPVDD_GPU        T PIN TB_TP235.1
$119      85.080    77.580   3  C1   (B)  #915  DWI_AP_CLK       T PIN TB_TP370.1
$120      84.110    76.740   3  C1   (B)  #690  SOCHOT1_L        T PIN TB_TP240.1
$121      85.300    75.270   1  C1   (B)  #22   PPVDD_CPU        T PIN TB_TP236.1
$122      87.735    71.615   1  C1   (B)  #5    PP1V0_SOC        T PIN TB_TP186.1
$123      84.090    71.800   1  C1   (B)  #675  USB_VBUS_DETECT  T PIN TB_TP194.1
$124      80.110    72.910   3  C1   (B)  #1154 TP_AMUX_AY       T PIN TB_TP114.1
$125      79.120    73.530   4  C1   (B)  #1155 TP_AMUX_BY       T PIN TB_TP113.1
