 820-3399-a        Tebo-ICT,  license #YunTaiLi

 Board Outline Contour             Metric units               01-January-2012 05:54

 User Datum  X  0.000,  Y  0.000,  Rotation   0.0

      X           Y         Radius

   -3.377       5.824       0.000
   -3.367       5.846       0.000
   -3.356       5.867       0.000
   -3.345       5.888       0.000
   -3.334       5.910       0.000
   -3.323       5.931       0.000
   -3.311       5.952       0.000
   -3.299       5.973       0.000
   -3.287       5.993       0.000
   -3.274       6.014       0.000
   -3.261       6.034       0.000
   -3.248       6.054       0.000
   -3.235       6.074       0.000
   -3.222       6.094       0.000
   -3.208       6.114       0.000
   -3.194       6.134       0.000
   -3.180       6.153       0.000
   -3.166       6.172       0.000
   -3.151       6.191       0.000
   -3.136       6.210       0.000
   -3.121       6.229       0.000
   -3.106       6.247       0.000
   -3.090       6.266       0.000
   -3.075       6.284       0.000
   -3.059       6.302       0.000
   -3.042       6.320       0.000
   -3.026       6.337       0.000
   -3.010       6.354       0.000
   -2.993       6.372       0.000
   -2.976       6.389       0.000
   -2.959       6.405       0.000
   -2.941       6.422       0.000
   -2.924       6.438       0.000
   -2.906       6.454       0.000
   -2.888       6.470       0.000
   -2.869       6.486       0.000
   -2.851       6.501       0.000
   -2.833       6.517       0.000
   -2.814       6.532       0.000
   -2.795       6.546       0.000
   -2.776       6.561       0.000
   -2.757       6.575       0.000
   -2.737       6.590       0.000
   -2.718       6.603       0.000
   -2.698       6.617       0.000
   -2.696       6.618       0.000
   -2.675       6.633       0.000
   -2.654       6.648       0.000
   -2.633       6.663       0.000
   -2.613       6.679       0.000
   -2.593       6.695       0.000
   -2.573       6.711       0.000
   -2.554       6.727       0.000
   -2.534       6.744       0.000
   -2.515       6.761       0.000
   -2.497       6.779       0.000
   -2.478       6.797       0.000
   -2.460       6.815       0.000
   -2.442       6.833       0.000
   -2.424       6.852       0.000
   -2.407       6.870       0.000
   -2.390       6.890       0.000
   -2.373       6.909       0.000
   -2.357       6.929       0.000
   -2.341       6.949       0.000
   -2.325       6.969       0.000
   -2.310       6.989       0.000
   -2.295       7.010       0.000
