 Gerber_20200211(820-01839-a_v7)        Tebo-ICT,  license #XunKeDa

 Board Outline Contour             Metric units               11-February-2020 11:11

 User Datum  X  0.000,  Y  0.000,  Rotation   0.0

      X           Y         Radius

   14.916      43.803       0.000
   14.889      43.825       0.000
   14.863      43.848       0.000
   14.839      43.873       0.000
   14.816      43.900       0.000
   14.796      43.928       0.000
   14.777      43.957       0.000
   14.762      43.985       0.000
   14.749      44.010       0.000
   14.736      44.036       0.000
   14.722      44.061       0.000
   14.707      44.086       0.000
   14.691      44.110       0.000
   14.676      44.134       0.000
   14.659      44.158       0.000
   14.643      44.182       0.000
   14.625      44.205       0.000
   14.608      44.227       0.000
   14.589      44.250       0.000
   14.570      44.272       0.000
   14.551      44.293       0.000
   14.532      44.314       0.000
   14.511      44.335       0.000
   14.491      44.355       0.000
   14.470      44.375       0.000
   14.449      44.394       0.000
   14.427      44.413       0.000
   14.404      44.432       0.000
   14.382      44.450       0.000
   14.359      44.467       0.000
   14.336      44.484       0.000
   14.312      44.501       0.000
   14.288      44.517       0.000
   14.263      44.532       0.000
   14.239      44.547       0.000
   14.214      44.561       0.000
   14.188      44.575       0.000
   14.163      44.588       0.000
   14.137      44.601       0.000
   14.111      44.613       0.000
   14.084      44.625       0.000
   14.058      44.636       0.000
   14.031      44.646       0.000
   14.004      44.656       0.000
   13.976      44.666       0.000
   13.949      44.674       0.000
   13.921      44.683       0.000
   13.893      44.690       0.000
   13.865      44.697       0.000
   13.837      44.703       0.000
   13.809      44.709       0.000
   13.781      44.714       0.000
   13.752      44.719       0.000
   13.723      44.723       0.000
   13.695      44.726       0.000
   13.666      44.729       0.000
   13.637      44.731       0.000
   13.608      44.732       0.000
   13.580      44.733       0.000
   13.554      44.733       0.000
   13.053      44.733       0.000
   13.019      44.735       0.000
   12.984      44.739       0.000
   12.949      44.745       0.000
   12.915      44.753       0.000
   12.882      44.764       0.000
   12.850      44.777       0.000
   12.819      44.792       0.000
   12.788      44.810       0.000
   12.759      44.829       0.000
   12.732      44.851       0.000
   12.706      44.874       0.000
   12.682      44.899       0.000
   12.659      44.926       0.000
   12.639      44.954       0.000
   12.620      44.984       0.000
   12.604      45.015       0.000
   12.590      45.046       0.000
   12.578      45.079       0.000
   12.568      45.113       0.000
   12.561      45.147       0.000
   12.556      45.182       0.000
   12.553      45.216       0.000
   12.553      45.234       0.000
   12.553      50.736       0.000
   12.550      50.820       0.000
   12.541      50.903       0.000
   12.527      50.985       0.000
   12.506      51.067       0.000
   12.481      51.146       0.000
   12.449      51.224       0.000
   12.412      51.299       0.000
   12.371      51.372       0.000
   12.324      51.441       0.000
   12.272      51.507       0.000
   12.216      51.570       0.000
   12.156      51.628       0.000
   12.092      51.682       0.000
   12.024      51.731       0.000
   11.953      51.775       0.000
   11.879      51.814       0.000
   11.803      51.849       0.000
   11.724      51.877       0.000
   11.643      51.900       0.000
   11.561      51.918       0.000
   11.479      51.929       0.000
   11.395      51.935       0.000
   11.353      51.936       0.000
    8.426      51.936       0.000
    8.391      51.938       0.000
    8.356      51.941       0.000
    8.322      51.947       0.000
    8.288      51.956       0.000
    8.255      51.967       0.000
    8.223      51.980       0.000
    8.191      51.995       0.000
    8.161      52.012       0.000
    8.132      52.032       0.000
    8.105      52.053       0.000
    8.079      52.077       0.000
    8.054      52.102       0.000
    8.032      52.128       0.000
    8.011      52.157       0.000
    7.993      52.186       0.000
    7.977      52.217       0.000
    7.962      52.249       0.000
    7.950      52.282       0.000
    7.941      52.315       0.000
    7.934      52.349       0.000
    7.929      52.384       0.000
    7.926      52.419       0.000
    7.926      52.436       0.000
    7.926      53.240       0.000
    7.927      53.275       0.000
    7.931      53.310       0.000
    7.937      53.344       0.000
    7.945      53.378       0.000
    7.956      53.411       0.000
    7.969      53.444       0.000
    7.984      53.475       0.000
    8.002      53.505       0.000
    8.021      53.534       0.000
    8.043      53.562       0.000
    8.066      53.588       0.000
    8.091      53.612       0.000
    8.118      53.634       0.000
    8.146      53.655       0.000
    8.176      53.673       0.000
    8.207      53.690       0.000
    8.238      53.704       0.000
    8.272      53.716       0.000
    8.305      53.726       0.000
    8.339      53.733       0.000
    8.374      53.738       0.000
    8.408      53.740       0.000
    8.426      53.740       0.000
   12.960      53.740       0.000
   12.995      53.739       0.000
   13.030      53.735       0.000
   13.064      53.729       0.000
   13.098      53.721       0.000
   13.131      53.710       0.000
   13.164      53.697       0.000
   13.195      53.681       0.000
   13.225      53.664       0.000
   13.254      53.645       0.000
   13.282      53.623       0.000
   13.308      53.600       0.000
   13.332      53.575       0.000
   13.354      53.548       0.000
   13.375      53.520       0.000
   13.393      53.490       0.000
   13.410      53.459       0.000
   13.424      53.427       0.000
   13.429      53.415       0.000
   13.439      53.388       0.000
   13.450      53.361       0.000
   13.462      53.335       0.000
   13.474      53.309       0.000
   13.487      53.283       0.000
   13.500      53.257       0.000
   13.513      53.232       0.000
   13.528      53.207       0.000
   13.543      53.182       0.000
   13.558      53.157       0.000
   13.574      53.133       0.000
   13.590      53.109       0.000
   13.607      53.086       0.000
   13.624      53.063       0.000
   13.642      53.040       0.000
   13.660      53.018       0.000
   13.679      52.996       0.000
   13.698      52.974       0.000
   13.718      52.954       0.000
   13.738      52.933       0.000
   13.759      52.913       0.000
   13.780      52.893       0.000
   13.802      52.874       0.000
   13.823      52.855       0.000
   13.846      52.836       0.000
   13.868      52.819       0.000
   13.891      52.801       0.000
   13.915      52.784       0.000
   13.939      52.768       0.000
   13.962      52.752       0.000
   13.987      52.736       0.000
   14.012      52.722       0.000
   14.037      52.707       0.000
   14.062      52.694       0.000
   14.088      52.680       0.000
   14.114      52.668       0.000
   14.140      52.655       0.000
   14.166      52.644       0.000
   14.193      52.633       0.000
   14.220      52.622       0.000
   14.247      52.613       0.000
   14.274      52.603       0.000
   14.302      52.595       0.000
   14.329      52.587       0.000
   14.357      52.579       0.000
   14.386      52.572       0.000
   14.413      52.566       0.000
   14.442      52.560       0.000
   14.470      52.555       0.000
   14.499      52.551       0.000
   14.527      52.547       0.000
   14.556      52.544       0.000
   14.585      52.541       0.000
   14.614      52.539       0.000
   14.642      52.538       0.000
   14.671      52.537       0.000
   14.700      52.537       0.000
   14.729      52.537       0.000
   14.758      52.538       0.000
   14.786      52.540       0.000
   14.815      52.542       0.000
   14.844      52.545       0.000
   14.872      52.549       0.000
   14.901      52.553       0.000
   14.930      52.557       0.000
   14.958      52.563       0.000
   14.986      52.569       0.000
   15.014      52.575       0.000
   15.042      52.582       0.000
   15.070      52.590       0.000
   15.098      52.599       0.000
   15.125      52.607       0.000
   15.152      52.617       0.000
   15.179      52.627       0.000
   15.206      52.638       0.000
   15.233      52.649       0.000
   15.259      52.661       0.000
   15.285      52.673       0.000
   15.311      52.686       0.000
   15.337      52.699       0.000
   15.362      52.713       0.000
   15.387      52.728       0.000
   15.411      52.743       0.000
   15.436      52.759       0.000
   15.459      52.775       0.000
   15.483      52.791       0.000
   15.506      52.809       0.000
   15.529      52.826       0.000
   15.552      52.844       0.000
   15.574      52.863       0.000
   15.595      52.882       0.000
   15.617      52.901       0.000
   15.638      52.921       0.000
   15.658      52.942       0.000
   15.678      52.963       0.000
   15.697      52.984       0.000
   15.717      53.005       0.000
   15.732      53.024       0.000
   17.326      54.941       0.000
   17.345      54.964       0.000
   17.363      54.987       0.000
   17.380      55.011       0.000
   17.397      55.035       0.000
   17.413      55.059       0.000
   17.429      55.083       0.000
   17.445      55.109       0.000
   17.459      55.134       0.000
   17.474      55.160       0.000
   17.487      55.186       0.000
   17.500      55.212       0.000
   17.513      55.238       0.000
   17.525      55.265       0.000
   17.536      55.292       0.000
   17.547      55.319       0.000
   17.557      55.347       0.000
   17.567      55.375       0.000
   17.576      55.403       0.000
   17.584      55.431       0.000
   17.592      55.459       0.000
   17.599      55.488       0.000
   17.605      55.516       0.000
   17.611      55.545       0.000
   17.616      55.574       0.000
   17.620      55.603       0.000
   17.624      55.632       0.000
   17.628      55.661       0.000
   17.630      55.690       0.000
   17.632      55.719       0.000
   17.633      55.749       0.000
   17.634      55.778       0.000
   17.634      55.807       0.000
   17.633      55.837       0.000
   17.632      55.866       0.000
   17.630      55.895       0.000
   17.628      55.924       0.000
   17.625      55.953       0.000
   17.621      55.983       0.000
   17.616      56.012       0.000
   17.611      56.041       0.000
   17.606      56.069       0.000
   17.599      56.098       0.000
   17.592      56.126       0.000
   17.584      56.155       0.000
   17.576      56.183       0.000
   17.567      56.211       0.000
   17.558      56.238       0.000
   17.548      56.266       0.000
   17.537      56.293       0.000
   17.526      56.320       0.000
   17.514      56.347       0.000
   17.501      56.374       0.000
   17.488      56.400       0.000
   17.475      56.426       0.000
   17.460      56.452       0.000
   17.446      56.477       0.000
   17.430      56.502       0.000
   17.415      56.527       0.000
   17.398      56.551       0.000
   17.381      56.575       0.000
   17.364      56.599       0.000
   17.346      56.622       0.000
   17.328      56.645       0.000
   17.309      56.667       0.000
   17.289      56.689       0.000
   17.269      56.711       0.000
   17.249      56.732       0.000
   17.228      56.752       0.000
   17.207      56.772       0.000
   17.185      56.792       0.000
   17.163      56.811       0.000
   17.140      56.830       0.000
   17.117      56.848       0.000
   17.094      56.866       0.000
   17.070      56.883       0.000
   17.046      56.900       0.000
   17.021      56.916       0.000
   16.997      56.932       0.000
   16.971      56.947       0.000
   16.946      56.961       0.000
   16.920      56.975       0.000
   16.894      56.988       0.000
   16.868      57.001       0.000
   16.841      57.013       0.000
   16.814      57.025       0.000
   16.787      57.036       0.000
   16.759      57.046       0.000
   16.732      57.056       0.000
   16.715      57.062       0.000
   16.683      57.074       0.000
   16.651      57.088       0.000
   16.620      57.105       0.000
   16.591      57.123       0.000
   16.562      57.144       0.000
   16.536      57.166       0.000
   16.511      57.191       0.000
   16.487      57.217       0.000
   16.466      57.244       0.000
   16.447      57.273       0.000
   16.429      57.303       0.000
   16.414      57.335       0.000
   16.401      57.367       0.000
   16.390      57.400       0.000
   16.382      57.434       0.000
   16.376      57.469       0.000
   16.372      57.503       0.000
   16.371      57.537       0.000
   16.371      65.210       0.000
   16.372      65.245       0.000
   16.376      65.280       0.000
   16.382      65.314       0.000
   16.390      65.348       0.000
   16.401      65.381       0.000
   16.414      65.414       0.000
   16.429      65.445       0.000
   16.447      65.475       0.000
   16.466      65.504       0.000
   16.488      65.532       0.000
   16.511      65.558       0.000
   16.536      65.582       0.000
   16.563      65.604       0.000
   16.591      65.625       0.000
   16.621      65.643       0.000
   16.652      65.660       0.000
   16.683      65.674       0.000
   16.717      65.686       0.000
   16.750      65.696       0.000
   16.784      65.703       0.000
   16.819      65.708       0.000
   16.853      65.710       0.000
   16.871      65.710       0.000
   24.630      65.710       0.000
   24.699      65.708       0.000
   24.769      65.701       0.000
   24.838      65.688       0.000
   24.905      65.671       0.000
   24.972      65.650       0.000
   25.036      65.624       0.000
   25.099      65.593       0.000
   25.159      65.558       0.000
   25.217      65.519       0.000
   25.272      65.476       0.000
   25.324      65.430       0.000
   25.373      65.379       0.000
   25.418      65.326       0.000
   25.459      65.270       0.000
   25.496      65.210       0.000
   25.529      65.149       0.000
   25.557      65.085       0.000
   25.581      65.019       0.000
   25.600      64.952       0.000
   25.614      64.884       0.000
   25.624      64.815       0.000
   25.629      64.745       0.000
   25.630      64.710       0.000
   25.630       6.658       0.000
   25.631       6.624       0.000
   25.635       6.589       0.000
   25.641       6.555       0.000
   25.649       6.521       0.000
   25.660       6.488       0.000
   25.673       6.455       0.000
   25.688       6.424       0.000
   25.706       6.394       0.000
   25.725       6.365       0.000
   25.747       6.337       0.000
   25.770       6.311       0.000
   25.795       6.287       0.000
   25.822       6.265       0.000
   25.850       6.244       0.000
   25.880       6.226       0.000
   25.911       6.209       0.000
   25.943       6.195       0.000
   25.975       6.183       0.000
   26.009       6.173       0.000
   26.043       6.166       0.000
   26.077       6.162       0.000
   26.112       6.159       0.000
   26.129       6.158       0.000
   36.837       6.158       0.000
   36.871       6.157       0.000
   36.906       6.154       0.000
   36.940       6.148       0.000
   36.975       6.139       0.000
   37.008       6.128       0.000
   37.040       6.115       0.000
   37.071       6.100       0.000
   37.102       6.083       0.000
   37.130       6.063       0.000
   37.150       6.049       0.000
   37.178       6.028       0.000
   37.207       6.009       0.000
   37.238       5.992       0.000
   37.269       5.978       0.000
   37.302       5.965       0.000
   37.335       5.955       0.000
   37.369       5.947       0.000
   37.404       5.942       0.000
   37.439       5.939       0.000
   37.462       5.939       0.000
  138.710       5.939       0.000
  138.745       5.937       0.000
  138.780       5.933       0.000
  138.814       5.927       0.000
  138.848       5.919       0.000
  138.881       5.908       0.000
  138.914       5.895       0.000
  138.945       5.880       0.000
  138.975       5.862       0.000
  139.004       5.843       0.000
  139.032       5.821       0.000
