 Gerber_20200211(820-01839-a_v7)        Tebo-ICT,  license #XunKeDa
R1050         84.715    -8.381  270.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R1051         84.715    -9.122   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R1052        114.878    -1.655   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R1053        115.255    -1.661   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R1063         85.245   -12.912    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R1064         84.715   -11.562   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R1230         84.297    -5.309   90.0  AA   (T)  'FIL-01005-HP22', 'FIL-01005-HP22'
R12A0         92.759   -23.543  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R12D0         86.075   -19.731    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R12D1         86.075   -19.362    0.0  AA   (T)  'RES-01005-P42XP22-HP15', 'RES-01005-P42XP22-HP15'
R12E0         94.192   -22.674  180.0  AA   (T)  'RES-01005-P42XP22-HP15', 'RES-01005-P42XP22-HP15'
R145D        102.324   -23.411   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R1800         70.533   -15.619  180.0  AA   (T)  'RES-01005-P42XP22-HP15', 'RES-01005-P42XP22-HP15'
R1801         79.935    -7.262   90.0  AA   (T)  'RES-01005-P42XP22-HP15', 'RES-01005-P42XP22-HP15'
R1804         84.145   -14.193    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R1810         85.245   -11.762    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R1811         78.125    -7.482  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R1851         70.526   -18.249  180.0  AA   (T)  'RES-0201-HP26', 'RES-0201-HP26'
R1900         56.598   -13.641  180.0  AA   (T)  'RES-01005-P42XP22-HP15', 'RES-01005-P42XP22-HP15'
