 Gerber_20200211(820-01839-a_v7)        Tebo-ICT,  license #XunKeDa

 Test Fixture Nails     420/420  Selected Drills           11-February-2020 11:11
                        420 Nails,  1606 Nets               Metric units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$108     129.973    -9.349   3  AA   (B)  #295  LED_IO_2_A       T PIN TP9373.1
$109     130.900    -8.500   3  AA   (B)  #268  PPVCC_HIGH       T PIN TP939L.1
$109     155.301     1.242   1  AA   (B)  #268  PPVCC_HIGH       T PIN TP9342.1
$109     132.422    -8.762   2  AA   (B)  #268  PPVCC_HIGH       T PIN TP939K.1
$110     130.665    -6.403   1  AA   (B)  #11   PP1V8_EXT_SW1    T PIN TP9309.1
$111     138.387    -5.907   4  AA   (B)  #1235 UART_BELLATRIX2_TO_SOC_TX T PIN TP93N9.1
$112     150.620    -3.287   1  AA   (B)  #184  PPV_BST_AUDIO    T PIN TP93F8.1
$112     139.438    -6.043   3  AA   (B)  #184  PPV_BST_AUDIO    T PIN TP93F9.1
$113     141.263    -3.827   1  AA   (B)  #742  GPIO_SCORPIUS_BOOST_VSET_DAC T PIN TP93EE.1
$114     140.427    -1.129   4  AA   (B)  #743  I2C_AOP_I2CM1_SDA_1V8 T PIN TP93GJ.1
$115     141.181    -0.446   3  AA   (B)  #741  I2C_AOP_I2CM1_SCL_1V8 T PIN TP93GI.1
$116     144.450     0.050   3  AA   (B)  #122  PPVCC_MAIN       T PIN TP939G.1
$116     162.332    -1.405   1  AA   (B)  #122  PPVCC_MAIN       T PIN TP9347.1
$116     142.593    -1.105   3  AA   (B)  #122  PPVCC_MAIN       T PIN TP939H.1
$117     140.909    -2.008   3  AA   (B)  #512  PP20V_SCORPIUS_BOOST_VOUT T PIN TP93EA.1
$117     143.846    -1.359   3  AA   (B)  #512  PP20V_SCORPIUS_BOOST_VOUT T PIN TP93ER.1
$118     145.091    -2.265   4  AA   (B)  #750  GPIO_WLAN_TO_SCORPIUS_TX_IND T PIN TP93EQ.1
$119     145.046    -3.323   3  AA   (B)  #748  SWD_SCORPIUS_SWDIO T PIN TP93EJ.1
$120     146.185    -2.174   3  AA   (B)  #1229 ARDEE_SYNC       T PIN TP93FB.1
$121     151.761     1.646   3  AA   (B)  #462  PP1V8_S2_LDO_SCORPIUS T PIN TP931F.1
$122     150.127     1.486   2  AA   (B)  #459  PP3V3_S2_SCORPIUS T PIN TP9318.1
$123     147.927     1.653   3  AA   (B)  #738  SOC_TO_SCORPIUSMCU_BOOT0 T PIN TP93EM.1
$124     146.700     1.600   3  AA   (B)  #739  GPIO_BB_TO_SCORPIUS_TX_IND T PIN TP93HD.1
$125     145.600     1.600   4  AA   (B)  #521  PP1V8_S2_BUCK_SCORPIUS_CONN T PIN TP93EO.1
$126     144.500     1.600   3  AA   (B)  #609  SPI_SENSORS_MISO_CONN T PIN TP93P1.1
$127     143.500     1.600   4  AA   (B)  #610  SPI_SENSORS_MOSI_CONN T PIN TP93P2.1
$128     142.500     1.600   4  AA   (B)  #611  SPI_SENSORS_SCLK_CONN T PIN TP93P3.1
$129     141.400     1.600   4  AA   (B)  #612  SPI_MOLY_CS_L_CONN T PIN TP93P4.1
$130     140.390     1.652   3  AA   (B)  #95   DMIC4_MIC_SCLK_CMPS_CONN T PIN TP93KH.1
$131     139.600     1.000   4  AA   (B)  #740  GPIO_AOP_TO_SCORPIUSMCU_NRST_L T PIN TP93EF.1
$132     139.701    -0.062   3  AA   (B)  #744  GPIO_SCORPIUS_BOOST_EN T PIN TP93EC.1
$133     138.387    -0.040   3  AA   (B)  #98   PP1V8_S2_MOLY_CMPS_CONN T PIN TP93G4.1
$134     138.614     1.382   3  AA   (B)  #97   PP1V8_S2_DMIC_CMPS_CONN T PIN TP93KJ.1
$135     132.500     1.300   3  AA   (B)  #96   DMIC3_MIC_SD_CMPS_CONN T PIN TP93KI.1
$136     132.600     0.300   4  AA   (B)  #613  GPIO_MOLY_TO_AOP_IRQ_CONN T PIN TP93P5.1
$137     129.672    -0.020   1  AA   (B)  #455  PP2V95_S2_THROTTLE T PIN TP9313.1
$138     126.245    -2.770   3  AA   (B)  #1003 VCCMAIN_DROOP_PMU_TO_SOC_L T PIN TP93BB.1
$139     125.234    -2.966   4  AA   (B)  #1244 GPIO_ACE_TO_SOC_IRQ_L T PIN TP93RU.1
$140     123.321    -5.309   3  AA   (B)  #1185 GPIO_PMU_TO_GPU_TRIGGER_0 T PIN TP93BE.1
$141     122.314    -5.988   3  AA   (B)  #1184 GPIO_PMU_TO_GPU_TRIGGER_1 T PIN TP93BF.1
$142     123.153    -6.585   4  AA   (B)  #722  GPIO_PMU_TO_LCD_PWREN T PIN TP93K0.1
$143     122.395    -7.238   4  AA   (B)  #1182 GPIO_PMU_TO_CPU_TRIGGER_1 T PIN TP93BA.1
$144     121.389    -7.697   3  AA   (B)  #62   PPVDD_GPU        T PIN TP9302.1
$145     125.051   -10.072   1  AA   (B)  #1239 ADC_SOC_TO_PMU_VDD_GPU T PIN TP93ND.1
$146     120.939   -12.945   1  AA   (B)  #66   PPVDD_ECPU       T PIN TP930K.1
$147     116.269   -12.783   3  AA   (B)  #1004 SOCHOT1_SOC_TO_PMU_L T PIN TP93BC.1
$148     114.735   -13.373   2  AA   (B)  #8    RESET_PMU_TO_SYSTEM_L T PIN TP93C8.1
$149     112.982   -12.473   2  AA   (B)  #1117 UART_SOC_TO_DEBUG_TX T PIN TP93D0.1
$150     114.976    -8.053   1  AA   (B)  #1183 GPIO_PMU_TO_CPU_TRIGGER_0 T PIN TP93B9.1
$151     115.684    -2.490   2  AA   (B)  #1221 GPIO_PMU_TO_APOLLO_LDO10_ON T PIN TP93BK.1
$152     116.628    -0.681   1  AA   (B)  #746  SWD_SCORPIUS_SWCLK T PIN TP93EI.1
$153     107.129    -1.470   1  AA   (B)  #48   PPVDD_S1_QL      T PIN TP930J.1
$154     107.972    -9.152   1  AA   (B)  #51   PP1V2_SOC        T PIN TP931D.1
$155     108.238   -12.492   1  AA   (B)  #1224 TST_CLKOUT       T PIN TP93CB.1
$156     104.039   -10.686   4  AA   (B)  #1238 ADC_SOC_TO_PMU_VDD_CPU T PIN TP93NC.1
$157     103.044   -11.058   3  AA   (B)  #1237 TPT_VSS_PCPU_SENSE T PIN TP93NB.1
$158     102.736    -9.826   3  AA   (B)  #1236 TPT_VSS_SENSE    T PIN TP93NA.1
$159     100.686   -10.422   1  AA   (B)  #1240 ADC_SOC_TO_PMU_VDD_SOC T PIN TP93NE.1
$160      96.113    -7.313   1  AA   (B)  #68   PPVDD_GPU_SRAM   T PIN TP930H.1
$161      93.255   -12.225   1  AA   (B)  #1241 TPT_VSS_DDR_SENSE T PIN TP93NF.1
$162      91.070   -11.240   4  AA   (B)  #938  I2C_SMC_I2CM2_SCL_1V8 T PIN TP93GO.1
$163      90.130   -11.740   3  AA   (B)  #937  I2C_SMC_I2CM2_SDA_1V8 T PIN TP93GP.1
$164      90.200   -10.470   3  AA   (B)  #1030 I2C_SMC_I2CM1_SDA_1V8 T PIN TP93GN.1
$165      89.202   -10.396   4  AA   (B)  #1031 I2C_SMC_I2CM1_SCL_1V8 T PIN TP93GM.1
$166      88.344    -9.714   3  AA   (B)  #749  GPIO_SCORPIUS_TO_AOP_IRQ T PIN TP93EL.1
$167      85.815    -1.801   1  AA   (B)  #67   PPVDD_S1_DCS     T PIN TP930I.1
$168      85.142     0.638   1  AA   (B)  #49   PP1V1_S3         T PIN TP930C.1
$169      82.194    -3.606   3  AA   (B)  #65   PPVDD_S1_FIXED   T PIN TP930E.1
$170      80.900    -3.550   3  AA   (B)  #1222 GPIO_PMU_TO_APOLLO_BUCK4_ON T PIN TP93BL.1
$171      79.364    -6.405   1  AA   (B)  #47   PP1V8_S3         T PIN TP9304.1
$172      77.350    -3.700   1  AA   (B)  #266  PP1V8_SW1_CAM    T PIN TP9307.1
$173      76.334    -0.349   2  AA   (B)  #1218 TPT_APOLLO_AMUX_AY T PIN TP93B3.1
$174      75.950     1.600   2  AA   (B)  #435  PP1V215_PEARL    T PIN TP931M.1
$175      74.484     1.613   3  AA   (B)  #448  PP1V8_S3_SW3     T PIN TP9308.1
$176      73.300     1.600   4  AA   (B)  #430  PP1V4_CAMERA     T PIN TP930L.1
$177      72.250     1.600   3  AA   (B)  #440  APOLLO_LDO26_SPARE T PIN TP931P.1
$178      75.146    -0.426   4  AA   (B)  #53   PP1V215_FRONT_CAM T PIN TP9319.1
$179      74.726    -1.858   3  AA   (B)  #436  PP2V85_PEARL     T PIN TP931N.1
$180      75.179    -3.049   3  AA   (B)  #438  PP2V90_FRONT_CAM T PIN TP931L.1
$181      74.927    -4.719   3  AA   (B)  #434  PP3V3_PENROSE    T PIN TP942G.1
